,zipcode,Population,White,Black,Asian,Hispanic
10373,30538,2514.0,2424.0,90.0,0.0,126.0
10374,30540,17982.0,15982.0,161.0,0.0,2573.0
10375,30541,1707.0,1707.0,0.0,0.0,0.0
10376,30542,33420.0,29279.0,1693.0,339.0,6167.0
10377,30543,4108.0,3540.0,176.0,0.0,1176.0
10378,30545,666.0,612.0,11.0,4.0,12.0
10379,30546,6580.0,6340.0,22.0,26.0,199.0
10380,30547,3517.0,2997.0,326.0,180.0,19.0
10381,30548,15934.0,14718.0,431.0,466.0,488.0
10382,30549,22398.0,19462.0,2226.0,301.0,871.0
10383,30552,1518.0,1489.0,7.0,2.0,18.0
10384,30553,6911.0,5712.0,848.0,11.0,296.0
10385,30554,7771.0,7204.0,241.0,41.0,495.0
10386,30555,2030.0,1863.0,0.0,13.0,3.0
10387,30557,4401.0,4109.0,165.0,73.0,34.0
10388,30558,5231.0,4822.0,166.0,151.0,192.0
10389,30559,3911.0,3879.0,0.0,0.0,178.0
10390,30560,4478.0,4412.0,7.0,2.0,12.0
10391,30562,685.0,647.0,0.0,0.0,74.0
10392,30563,5438.0,4883.0,32.0,84.0,658.0
10393,30564,3714.0,3568.0,132.0,0.0,120.0
10394,30565,4088.0,3773.0,236.0,5.0,271.0
10395,30566,8539.0,6438.0,733.0,525.0,2107.0
10396,30567,2985.0,2749.0,29.0,154.0,11.0
10397,30568,2300.0,2023.0,100.0,0.0,200.0
10398,30571,3951.0,3767.0,184.0,0.0,0.0
10399,30572,1537.0,1366.0,6.0,0.0,1.0
10400,30573,98.0,98.0,0.0,0.0,0.0
10401,30575,1124.0,1037.0,0.0,54.0,362.0
10402,30576,2432.0,2283.0,35.0,75.0,26.0
10403,30577,23003.0,19149.0,3256.0,59.0,351.0
10404,30581,0.0,0.0,0.0,0.0,0.0
10405,30582,4875.0,4702.0,133.0,0.0,32.0
10406,30601,21349.0,11065.0,9096.0,218.0,2974.0
10407,30602,2562.0,1740.0,400.0,296.0,129.0
10408,30605,40159.0,28199.0,7672.0,2903.0,2589.0
10409,30606,40963.0,28578.0,9469.0,1232.0,3563.0
10410,30607,11865.0,8168.0,3047.0,239.0,3545.0
10411,30609,1659.0,1462.0,80.0,61.0,93.0
10412,30619,1429.0,1365.0,53.0,0.0,106.0
10413,30620,12043.0,10006.0,1325.0,312.0,1004.0
10414,30621,4882.0,4559.0,270.0,22.0,156.0
10415,30622,10222.0,7922.0,1313.0,585.0,726.0
10416,30623,182.0,98.0,84.0,0.0,0.0
10417,30624,3141.0,2672.0,397.0,43.0,60.0
10418,30625,2309.0,2145.0,133.0,0.0,66.0
10419,30627,2080.0,1607.0,385.0,0.0,74.0
10420,30628,7127.0,6102.0,417.0,0.0,485.0
10421,30629,4346.0,3322.0,709.0,188.0,14.0
10422,30630,2286.0,1774.0,423.0,1.0,25.0
10423,30631,1859.0,724.0,1084.0,0.0,71.0
10424,30633,8399.0,8066.0,181.0,36.0,96.0
10425,30634,2164.0,1629.0,391.0,21.0,172.0
10426,30635,15839.0,9875.0,5533.0,20.0,773.0
10427,30641,2069.0,2009.0,10.0,50.0,0.0
10428,30642,10792.0,6539.0,3691.0,73.0,852.0
10429,30643,17064.0,12586.0,3860.0,24.0,772.0
10430,30646,6735.0,5325.0,855.0,2.0,578.0
10431,30648,3371.0,2659.0,602.0,2.0,191.0
10432,30650,11805.0,7701.0,3782.0,0.0,427.0
10433,30655,22953.0,16314.0,6029.0,122.0,663.0
10434,30656,15905.0,12596.0,2576.0,580.0,471.0
10435,30660,1123.0,504.0,494.0,0.0,116.0
10436,30662,8517.0,7351.0,919.0,29.0,221.0
10437,30663,3226.0,2579.0,618.0,20.0,0.0
10438,30664,11.0,2.0,9.0,0.0,0.0
10439,30665,113.0,12.0,101.0,0.0,0.0
10440,30666,9287.0,7306.0,1718.0,74.0,1064.0
10441,30667,943.0,386.0,489.0,3.0,42.0
10442,30668,1891.0,1308.0,533.0,0.0,8.0
10443,30669,3464.0,1918.0,1437.0,3.0,81.0
10444,30673,7767.0,4014.0,3458.0,44.0,252.0
10445,30677,16711.0,14875.0,940.0,590.0,258.0
10446,30678,1426.0,866.0,524.0,7.0,24.0
10447,30680,39230.0,30991.0,4708.0,1501.0,3477.0
10448,30683,6788.0,5192.0,1221.0,63.0,560.0
10449,30701,39365.0,32905.0,2342.0,576.0,7290.0
10450,30705,34139.0,32301.0,425.0,97.0,4868.0
10451,30707,16162.0,14960.0,867.0,66.0,135.0
10452,30708,273.0,273.0,0.0,0.0,0.0
10453,30710,6292.0,5704.0,27.0,35.0,537.0
10454,30711,3761.0,3592.0,22.0,0.0,387.0
10455,30720,28466.0,24285.0,1709.0,454.0,8728.0
10456,30721,51763.0,44870.0,1848.0,387.0,22403.0
10457,30725,3638.0,3513.0,57.0,10.0,48.0
10458,30726,0.0,0.0,0.0,0.0,0.0
10459,30728,19519.0,17930.0,1012.0,76.0,486.0
10460,30730,1689.0,1528.0,117.0,24.0,83.0
10461,30731,2220.0,2114.0,25.0,26.0,25.0
10462,30733,1789.0,1706.0,6.0,0.0,80.0
10463,30734,3436.0,3339.0,4.0,0.0,120.0
10464,30735,5893.0,5509.0,96.0,3.0,614.0
10465,30736,41467.0,38975.0,778.0,581.0,1174.0
10466,30738,3669.0,3588.0,1.0,0.0,15.0
10467,30739,5674.0,5184.0,381.0,70.0,108.0
10468,30740,8816.0,8118.0,168.0,28.0,914.0
10469,30741,30809.0,28408.0,1146.0,79.0,590.0
10470,30742,7220.0,6485.0,436.0,138.0,89.0
