,Unnamed: 0,Unnamed: 0.1,precinct_number,Phone,st_address,city,state,full_address,lat,lng,zipcode,neighborhood
26,26,26,44,718-590-5511,2 East 169th Street,Bronx,NY,"2 East 169th Street, Bronx, NY",40.8372041,-73.9199079,10452,High Bridge and Morrisania
27,27,27,45,718-822-5411,2877 Barkley Avenue,Bronx,NY,"2877 Barkley Avenue, Bronx, NY",40.8308596,-73.8273408,10465,Southeast Bronx
28,28,28,46,718-220-5211,2120 Ryer Avenue,Bronx,NY,"2120 Ryer Avenue, Bronx, NY",40.8539879,-73.9001119,10457,Central Bronx
29,29,29,47,718-920-1211,4111 Laconia Avenue,Bronx,NY,"4111 Laconia Avenue, Bronx, NY",40.8875453,-73.8475117,10466,Northeast Bronx
30,30,30,48,718-299-3900,450 Cross Bronx Expressway,Bronx,NY,"450 Cross Bronx Expressway, Bronx, NY",40.8439231,-73.9004465,10457,Southeast Bronx
31,31,31,49,718-918-2000,2121 Eastchester Road,Bronx,NY,"2121 Eastchester Road, Bronx, NY",40.8560259,-73.84442109999999,10461,Southeast Bronx
32,32,32,50,718-543-5700,3450 Kingsbridge Avenue,Bronx,NY,"3450 Kingsbridge Avenue, Bronx, NY",40.8835686,-73.90231659999999,10463,Kingsbridge and Riverdale
33,33,33,52,718-220-5811,3016 Webster Avenue,Bronx,NY,"3016 Webster Avenue, Bronx, NY",40.8690833,-73.8796248,10467,Bronx Park and Fordham
34,34,34,60,718-946-3311,2951 West 8th Street,Brooklyn,NY,"2951 West 8th Street, Brooklyn, NY",40.576552,-73.9761158,11224,Southern Brooklyn
35,35,35,61,718-627-6611,2575 Coney Island Avenue,Brooklyn,NY,"2575 Coney Island Avenue, Brooklyn, NY",40.5941521,-73.9605042,11223,Southern Brooklyn
36,36,36,62,718-236-2611,1925 Bath Avenue,Brooklyn,NY,"1925 Bath Avenue, Brooklyn, NY",40.6025018,-74.0031348,11214,Southwest Brooklyn
37,37,37,63,718-258-4411,1844 Brooklyn Avenue,Brooklyn,NY,"1844 Brooklyn Avenue, Brooklyn, NY",40.6279491,-73.94163069999999,11210,Flatbush
38,38,38,66,718-851-5611,5822 16th Avenue,Brooklyn,NY,"5822 16th Avenue, Brooklyn, NY",40.6257117,-73.9913846,11204,Borough Park
39,39,39,67,718-287-3211,2820 Snyder Avenue,Brooklyn,NY,"2820 Snyder Avenue, Brooklyn, NY",40.6486648,-73.9502641,11226,Flatbush
40,40,40,68,718-439-4211,333 65th Street,Brooklyn,NY,"333 65th Street, Brooklyn, NY",40.6389811,-74.02262259999999,11220,Sunset Park
41,41,41,69,718-257-6211,9720 Foster Avenue,Brooklyn,NY,"9720 Foster Avenue, Brooklyn, NY",40.64847899999999,-73.90498070000001,11236,Canarsie and Flatlands
42,42,42,70,718-851-5511,154 Lawrence Avenue,Brooklyn,NY,"154 Lawrence Avenue, Brooklyn, NY",40.63033799999999,-73.9736823,11230,Borough Park
43,43,43,71,718-735-0511,421 Empire Boulevard,Brooklyn,NY,"421 Empire Boulevard, Brooklyn, NY",40.6645922,-73.9478302,11225,Flatbush
44,44,44,72,718-965-6311,830 4th Avenue,Brooklyn,NY,"830 4th Avenue, Brooklyn, NY",40.6583216,-74.0008623,11232,Sunset Park
45,45,45,73,718-495-5411,1470 East New York Avenue,Brooklyn,NY,"1470 East New York Avenue, Brooklyn, NY",40.6707987,-73.9135238,11212,Central Brooklyn
46,46,46,75,718-827-3511,1000 Sutter Avenue,Brooklyn,NY,"1000 Sutter Avenue, Brooklyn, NY",40.6711825,-73.8815541,11208,East New York and New Lots
47,47,47,76,718-834-3211,191 Union Street,Brooklyn,NY,"191 Union Street, Brooklyn, NY",40.6838177,-74.0002196,11231,Northwest Brooklyn
48,48,48,77,718-735-0611,127 Utica Avenue,Brooklyn,NY,"127 Utica Avenue, Brooklyn, NY",40.6746488,-73.9302415,11213,Central Brooklyn
49,49,49,78,718-636-6411,65 6th Avenue,Brooklyn,NY,"65 6th Avenue, Brooklyn, NY",40.6805874,-73.9741579,11217,Northwest Brooklyn
50,50,50,79,718-636-6611,263 Tompkins Avenue,Brooklyn,NY,"263 Tompkins Avenue, Brooklyn, NY",40.6888144,-73.9448433,11216,Central Brooklyn
51,51,51,81,718-574-0411,30 Ralph Avenue,Brooklyn,NY,"30 Ralph Avenue, Brooklyn, NY",40.6896649,-73.92445479999999,11221,Bushwick and Williamsburg
52,52,52,83,718-574-1605,480 Knickerbocker Avenue,Brooklyn,NY,"480 Knickerbocker Avenue, Brooklyn, NY",40.6981474,-73.91784109999999,11237,Bushwick and Williamsburg
53,53,53,84,718-875-6811,301 Gold Street,Brooklyn,NY,"301 Gold Street, Brooklyn, NY",40.6955481,-73.98291689999999,11201,Northwest Brooklyn
54,54,54,88,718-636-6511,298 Classon Avenue,Brooklyn,NY,"298 Classon Avenue, Brooklyn, NY",40.69007089999999,-73.9605316,11205,Northwest Brooklyn
55,55,55,90,718-963-5311,211 Union Avenue,Brooklyn,NY,"211 Union Avenue, Brooklyn, NY",40.706273,-73.9507692,11211,Greenpoint
56,56,56,94,718-383-3879,100 Meserole Avenue,Brooklyn,NY,"100 Meserole Avenue, Brooklyn, NY",40.7266755,-73.95329509999999,11222,Greenpoint
57,57,57,100,718-318-4200,92-24 Rockaway Beach Boulevard,Queens,NY,"92-24 Rockaway Beach Boulevard, Queens, NY",40.586248,-73.81647699999999,11693,Rockaways
58,58,58,101,718-868-3400,16-12 Mott Avenue,Queens,NY,"16-12 Mott Avenue, Queens, NY",40.6029091,-73.7499246,11691,Rockaways
59,59,59,102,718-805-3200,87-34 118th Street,Queens,NY,"87-34 118th Street, Queens, NY",40.6987209,-73.8315671,11418,Southwest Queens
60,60,60,103,718-657-8181,168-02 P.O Edward Byrne Ave.,Queens,NY,"168-02 P.O Edward Byrne Ave., Queens, NY",40.66733600000001,-73.807361,11432,Southwest Queens
61,61,61,104,718-386-3004,64-2 Catalpa Avenue,Queens,NY,"64-2 Catalpa Avenue, Queens, NY",40.7043572,-73.89364859999999,11385,West Central Queens
62,62,62,105,718-776-9090,92-08 222nd Street,Queens,NY,"92-08 222nd Street, Queens, NY",40.7262254,-73.73514399999999,11428,Southeast Queens
63,63,63,106,718-845-2211,103-53 101st Street,Queens,NY,"103-53 101st Street, Queens, NY",40.68217430000001,-73.8397182,11417,Southwest Queens
64,64,64,107,718-969-5100,71-01 Parsons Boulevard,Queens,NY,"71-01 Parsons Boulevard, Queens, NY",40.7299091,-73.8106143,11365,Central Queens
65,65,65,108,718-784-5411,5-47 50th Avenue,Queens,NY,"5-47 50th Avenue, Queens, NY",40.7430828,-73.95467239999999,11101,Northwest Queens
66,66,66,109,718-321-2250,37-05 Union Street,Queens,NY,"37-05 Union Street, Queens, NY",40.762361,-73.8270199,11354,North Queens
67,67,67,110,718-476-9311,94-41 43rd Avenue,Queens,NY,"94-41 43rd Avenue, Queens, NY",40.7452193,-73.8700695,11373,West Queens
68,68,68,111,718-279-5200,45-06 215th Street,Queens,NY,"45-06 215th Street, Queens, NY",40.7602441,-73.76778089999999,11361,Northeast Queens
69,69,69,112,718-520-9311,68-40 Austin Street,Queens,NY,"68-40 Austin Street, Queens, NY",40.722358,-73.851468,11375,West Central Queens
70,70,70,113,718-712-7733,167-02 Baisley Boulevard,Queens,NY,"167-02 Baisley Boulevard, Queens, NY",40.6798013,-73.7756864,11434,Jamaica
71,71,71,114,718-626-9311,34-16 Astoria Boulevard,Queens,NY,"34-16 Astoria Boulevard, Queens, NY",40.7692816,-73.9153276,11103,Northwest Queens
72,72,72,115,718-533-2002,92-15 Northern Boulevard,Queens,NY,"92-15 Northern Boulevard, Queens, NY",40.7568746,-73.8754903,11369,West Queens
73,73,73,120,718-876-8500,78 Richmond Terrace,Staten Island,NY,"78 Richmond Terrace, Staten Island, NY",40.6446279,-74.077423,10301,Stapleton and St. George
74,74,74,121,718-697-8700,970 Richmond Avenue,Staten Island,NY,"970 Richmond Avenue, Staten Island, NY",40.62367649999999,-74.15034349999999,10314,Mid-Island
75,75,75,122,718-667-2211,2320 Hylan Boulevard,Staten Island,NY,"2320 Hylan Boulevard, Staten Island, NY",40.5741179,-74.1055058,10306,South Shore
76,76,76,123,718-948-9311,116 Main Street,Staten Island,NY,"116 Main Street, Staten Island, NY",40.5118436,-74.2500359,10307,South Shore
